"Time","soft grunge"
"2012-05-01",0
"2012-06-01",0
"2012-07-01",0
"2012-08-01",50
"2012-09-01",50
"2012-10-01",65
"2012-11-01",43
"2012-12-01",56
"2013-01-01",75
"2013-02-01",78
"2013-03-01",49
"2013-04-01",59
"2013-05-01",73
"2013-06-01",69
"2013-07-01",66
"2013-08-01",78
"2013-09-01",76
"2013-10-01",66
"2013-11-01",66
"2013-12-01",100
"2014-01-01",71
"2014-02-01",84
"2014-03-01",67
"2014-04-01",88
"2014-05-01",97
"2014-06-01",59
"2014-07-01",91
"2014-08-01",76
"2014-09-01",71
"2014-10-01",71
"2014-11-01",89
"2014-12-01",70
"2015-01-01",68
"2015-02-01",56
"2015-03-01",69
"2015-04-01",74
"2015-05-01",49
"2015-06-01",65
"2015-07-01",64
"2015-08-01",70
"2015-09-01",53
"2015-10-01",57
"2015-11-01",50
"2015-12-01",45
"2016-01-01",51
"2016-02-01",46
"2016-03-01",44
"2016-04-01",26
"2016-05-01",40
"2016-06-01",0
"2016-07-01",40
"2016-08-01",31
"2016-09-01",0
"2016-10-01",0
"2016-11-01",33
"2016-12-01",24
"2017-01-01",0
"2017-02-01",41
"2017-03-01",22
"2017-04-01",0
"2017-05-01",0
"2017-06-01",0
"2017-07-01",19
"2017-08-01",0
"2017-09-01",0
"2017-10-01",21
"2017-11-01",0
"2017-12-01",0
"2018-01-01",16
"2018-02-01",0
"2018-03-01",0
"2018-04-01",0
"2018-05-01",0
"2018-06-01",21