,mean_raw,std_raw,max_raw,skewness,kurt,n_peaks,mean_peak_height,max_peak_height,peak_spacing_mean,peak_spacing_std,rise_slope,fall_slope,peak_position_frac,acf_lag1,acf_lag12
Bikeshorts,16.97761194029851,12.551366945779995,100.0,1.83743797053807,8.34224822188945,6,0.48333333333333334,1.0,13.8,4.833218389437829,0.00510204081632653,-0.009718309859154929,0.7340823970037453,0.8557127127055595,0.6958099058606345
Bomber jacket,25.317164179104477,21.985242764654803,100.0,0.7841273035523944,-0.197957921114416,20,0.579,1.0,6.473684210526316,2.3478640024416273,0.006802721088435374,-0.003416666666666667,0.550561797752809,0.9512949710304422,0.8392183503858088
chokers,14.73134328358209,14.331972491915481,100.0,2.573219797431472,9.191761597987583,3,0.5866666666666666,1.0,55.0,44.0,0.0061290322580645155,-0.0075,0.5805243445692884,0.9646137659965152,0.4895594834112354
Cleangirl,8.604477611940299,19.141273159326328,100.0,2.054995613879354,3.155677110663124,10,0.5919999999999999,1.0,4.666666666666667,1.632993161855452,0.0045045045045045045,-0.014222222222222223,0.8314606741573034,0.9519626122836882,0.7557814416529262
Cottagecore,11.093283582089553,21.199537793332297,100.0,2.135788976304687,4.219087209307478,9,0.6733333333333333,1.0,8.25,5.3091901453988255,0.0049504950495049506,-0.012153846153846154,0.7565543071161048,0.9209059691484843,0.6521880902531592
Darkacademia,10.60820895522388,18.579785791976736,100.0,1.7288211840838474,2.539935074990175,11,0.509090909090909,1.0,6.1,3.047950130825634,0.004901960784313725,-0.013174603174603174,0.7640449438202247,0.9727608990042348,0.7636151409250053
disco fashion,32.86940298507463,19.678235297396274,100.0,-0.07911605878246042,0.07507682242150171,46,0.533695652173913,1.0,5.288888888888889,3.3241354580115834,0.005263157894736842,-0.011168831168831168,0.7116104868913857,0.5183436983938949,0.2426416393344383
EMOfashio,11.746268656716419,16.59647803276354,100.0,2.2100235181962926,5.355440357044239,8,0.61375,1.0,5.285714285714286,3.1493439550069438,0.04,-0.0038842975206611566,0.09363295880149813,0.788874279284129,0.49919457990641625
Euphoriafashion,2.1305970149253732,9.306238700358529,100.0,6.517449422189931,53.37802374149241,1,1.0,1.0,0.0,0.0,0.004608294930875576,-0.0168,0.8127340823970037,0.6564326653453103,0.2624116434139185
Fairycore,11.682835820895523,22.431491143996528,100.0,1.913418715679574,2.710204312649597,11,0.6563636363636364,1.0,5.9,2.211334438749598,0.004651162790697674,-0.014615384615384615,0.8052434456928839,0.9496091388704127,0.6973513961568776
mini skirts,31.817164179104477,14.980340480554629,100.0,2.073583018901641,3.8623738988901826,10,0.6317073170731706,1.0,29.22222222222222,70.29742808283763,0.03292682926829268,-0.003796146910885451,0.03745318352059925,0.896022559795195,0.8876756526248764
Normcore,9.914179104477611,13.413212760742168,100.0,2.4414702747948986,9.631116427215025,6,0.5916666666666667,1.0,28.6,40.68709869233736,0.00819672131147541,-0.0054482758620689655,0.45692883895131087,0.8334372070576715,0.404904048106718
PENDULUMTOPS,20.08582089552239,19.76928740056481,100.0,1.055501496759692,1.4742347752988847,15,0.4973333333333334,1.0,9.214285714285714,15.31189346987018,0.009345794392523364,-0.0042499999999999994,0.40074906367041196,0.9644386089213808,0.6154219246993636
tiedye,12.503731343283581,12.388758184768133,100.0,3.3421175598159256,16.712950760646315,3,0.608843537414966,1.0,34.5,20.5,0.004945855893377759,-0.01322219028456453,0.7340823970037453,0.8877106888444559,0.5380905452486581
y2kaesthetic,11.313432835820896,19.472681940271645,100.0,1.5506028673666186,1.5789911261264047,12,0.5716666666666667,1.0,5.909090909090909,3.175318035740542,0.0037735849056603774,-0.405,0.9925093632958801,0.8940800398667508,0.7971571729887917
70sfashion,42.77985074626866,15.47892298236997,100.0,0.27593268396425547,1.6341164745958174,56,0.5392857142857143,1.0,4.4363636363636365,1.522720488451644,0.004545454545454545,-0.016382978723404256,0.8239700374531835,0.5503406240384874,0.29375295810204843
boyfriend jeans,40.70522388059702,24.909666100700445,100.0,0.05076836833261124,-0.7112643094550153,30,0.6473333333333335,1.0,7.241379310344827,9.335343195633548,0.006756756756756757,-0.004537815126050421,0.5543071161048689,0.9497109921009825,0.8697698709045526
flaredjeans,19.44402985074627,23.078884874358316,100.0,1.4872850431562998,1.1852851471489316,11,0.6518181818181819,1.0,6.3,2.6851443164195103,0.0038022813688212928,-0.07500000000000001,0.9850187265917603,0.9664216445415367,0.9434466566073572
hipster fashion,21.041044776119403,26.797091935914906,100.0,1.0739720323752606,-0.060788414047479034,19,0.6584210526315788,1.0,10.5,20.73978999143648,0.009174311926605505,-0.00569620253164557,0.40823970037453183,0.9097758908673015,0.7764713951467477
INDIE,26.686567164179106,22.482802021169444,100.0,0.8849658982818057,-0.17014350562662228,20,0.64,1.0,5.2631578947368425,1.5842017835044642,0.024390243902439025,-0.003805309734513274,0.15355805243445692,0.8261090866752239,0.6739710647043488
jeggins,43.52238805970149,29.095241550197432,100.0,-0.28316421672937714,-1.1016647395999082,36,0.6708333333333332,1.0,5.542857142857143,1.9616735878596427,0.004975124378109453,-0.007424242424242424,0.7528089887640449,0.9664140244076913,0.8882521191941961
MAXI dress,32.22761194029851,25.72451032790719,100.0,0.5765302848973819,-0.37912838575261043,22,0.6559090909090909,1.0,8.952380952380953,3.2874391607796585,0.004098360655737705,-0.007826086956521741,0.9138576779026217,0.9317193726682788,0.9223478555109167
MOMJEANS,19.395522388059703,22.06842096371166,100.0,1.1424734855938117,1.0075283216790831,14,0.5557142857142857,1.0,6.384615384615385,2.0953597649040363,0.005050505050505051,-0.011014492753623189,0.7415730337078652,0.96994487342399,0.8665955905292628
Pastelgrunge,10.082089552238806,21.99170417112301,100.0,2.0581152695745373,3.1050499173857746,17,0.58,1.0,10.375,16.212938506020432,0.007518796992481203,-0.0072388059701492535,0.49812734082397003,0.749621892122745,0.5752080951351284
ripepdjeans,28.77238805970149,26.661302640273888,100.0,0.6464059933994722,-0.8843647738721634,24,0.6266666666666667,1.0,4.6521739130434785,1.3707724148203868,0.005723270440251572,-0.007222222222222223,0.5955056179775281,0.9812220376813904,0.9030711425985756
Skaterfashion,23.53731343283582,23.950090118054963,100.0,0.8427786566937442,-0.0019197641928299092,24,0.5804166666666667,1.0,7.434782608695652,9.476864675786807,0.008695652173913044,-0.005723684210526316,0.4307116104868914,0.8837100958442212,0.7477388497952484
SKINNYJEANS,42.17164179104478,21.08494763350166,100.0,-0.050620669301959825,-0.32949800421335596,35,0.6102857142857143,1.0,6.4411764705882355,4.741501229572191,0.0064516129032258064,-0.005803571428571429,0.5805243445692884,0.9435563235076796,0.8949840923268384
streetwear,50.541044776119406,11.560765562927925,100.0,1.1908484305135374,4.80761978651176,59,0.5701694915254237,0.99,4.5,2.127407358491908,0.0,-0.0018352059925093632,0.0,0.6380218583133754,0.4790067989037329
Tumblr Grunge,15.097014925373134,25.887780037470073,100.0,1.8034406897632442,2.1355048963963927,10,0.6719999999999999,1.0,4.666666666666667,1.3333333333333333,0.006944444444444444,-0.008130081300813009,0.5393258426966292,0.9910078511944073,0.8208484700393779
TUMBLR,19.791044776119403,29.722491264497737,100.0,1.3908474459655074,0.482585647935279,13,0.8076923076923078,1.0,4.666666666666667,1.8408935028645437,0.005847953216374269,-0.01,0.6404494382022472,0.9777743378001724,0.8500480633201155
barbiecore,1.2835820895522387,7.348582907658045,100.0,9.957365014144543,121.70091086182242,1,1.0,1.0,0.0,0.0,0.004273504273504274,-0.029696969696969697,0.8764044943820225,0.5463459544883031,0.11828160574137403
bimbocore,8.298507462686567,9.130096083215678,100.0,5.246302115230557,40.62939717145276,1,1.0,1.0,0.0,0.0,0.019387755102040816,-0.004373177842565598,0.18726591760299627,0.7339015854433726,0.37901108436493364
blokecore,2.6902985074626864,9.419591915321586,100.0,5.604345680306022,44.42707587392539,2,0.74,1.0,40.0,0.0,0.004545454545454545,-0.019148936170212766,0.8239700374531835,0.5386383643632501,0.311543422341509
Brat summer,1.2686567164179106,8.450173696973458,100.0,9.64662553970645,98.85297171591483,1,1.0,1.0,0.0,0.0,0.004048582995951417,-0.048,0.9250936329588015,0.7221962815310853,0.02754024694191606
BuisnessCausal,0.7798507462686567,6.525498549613426,100.0,13.431146615944229,197.3186091662017,1,1.0,1.0,0.0,0.0,0.125,-0.003629343629343629,0.0299625468164794,0.08537423142610606,-0.013241351307872537
chunkyshoes,11.85820895522388,16.59421450389002,100.0,1.1982645492033543,1.6090333021040717,15,0.4233333333333334,1.0,5.928571428571429,2.2188892238584383,0.0037735849056603774,-0.35,0.9925093632958801,0.9343655525232529,0.9007334448154882
coastalgrandmother,1.6380597014925373,8.902852928420891,100.0,7.5047686088385746,66.18569013438412,1,0.59,0.59,0.0,0.0,0.003745318352059925,0.0,1.0,0.5074745568561392,0.010355111885641134
galaxyprint,3.2686567164179103,6.791856602287551,100.0,10.915388508330842,150.75731400138207,1,1.0,1.0,0.0,0.0,0.0037735849056603774,-0.49,0.9925093632958801,0.24808787620540226,0.35593993450939826
goblincore,10.753731343283581,19.485906337108617,100.0,1.7455958840458083,2.4057461387105743,16,0.54875,1.0,4.4,1.7435595774162693,0.004739336492890996,-0.01482142857142857,0.7902621722846442,0.9233301634161349,0.7789438927718332
ivyleague,0.9067164179104478,8.787853708396506,100.0,10.510043211078461,111.8595299415913,3,0.7833333333333333,1.0,54.0,44.0,0.012195121951219513,-0.004972972972972973,0.30711610486891383,-0.010346694410197038,-0.01079608120739758
officesiren,3.5671641791044775,12.43397353738012,100.0,4.732101977308807,25.845334756532562,2,0.7,1.0,7.0,0.0,0.004048582995951417,-0.043,0.9250936329588015,0.9365136526269895,0.333170143610632
SCENEFASHION,12.865671641791044,11.826665446932767,100.0,2.671574934476821,13.016436998012558,7,0.5471428571428572,1.0,43.666666666666664,71.02268808079727,0.3333333333333333,-0.0033333333333333335,0.011235955056179775,0.41281589928803114,0.324277490559589
softgirlaesthetic,6.2164179104477615,15.784633534718216,100.0,3.180282897688262,10.793571200055979,5,0.6559999999999999,1.0,4.0,0.7071067811865476,0.004901960784313725,-0.015079365079365078,0.7640449438202247,0.944610227202442,0.5399767521625158
teddycoat,8.063432835820896,17.114618178031822,100.0,3.00440340361243,9.32924354625676,5,0.756,1.0,12.25,0.82915619758885,0.005263157894736842,-0.012727272727272728,0.7116104868913857,0.8787746063506852,0.8724588417736978
vsco,3.970149253731343,9.409776036248163,100.0,7.272571180850986,61.33628761755135,1,1.0,1.0,0.0,0.0,0.005319148936170213,-0.01240506329113924,0.704119850187266,0.8857924550221897,0.15180951530377648
