Time,Trend,Interest
2004-01-01,Low Rise Jeans,0
2004-02-01,Low Rise Jeans,0
2004-03-01,Low Rise Jeans,0
2004-04-01,Low Rise Jeans,0
2004-05-01,Low Rise Jeans,0
2004-06-01,Low Rise Jeans,0
2004-07-01,Low Rise Jeans,0
2004-08-01,Low Rise Jeans,0
2004-09-01,Low Rise Jeans,0
2004-10-01,Low Rise Jeans,0
2004-11-01,Low Rise Jeans,0
2004-12-01,Low Rise Jeans,0
2005-01-01,Low Rise Jeans,0
2005-02-01,Low Rise Jeans,0
2005-03-01,Low Rise Jeans,0
2005-04-01,Low Rise Jeans,0
2005-05-01,Low Rise Jeans,10
2005-06-01,Low Rise Jeans,0
2005-07-01,Low Rise Jeans,12
2005-08-01,Low Rise Jeans,0
2005-09-01,Low Rise Jeans,0
2005-10-01,Low Rise Jeans,0
2005-11-01,Low Rise Jeans,0
2005-12-01,Low Rise Jeans,11
2006-01-01,Low Rise Jeans,0
2006-02-01,Low Rise Jeans,11
2006-03-01,Low Rise Jeans,0
2006-04-01,Low Rise Jeans,0
2006-05-01,Low Rise Jeans,7
2006-06-01,Low Rise Jeans,0
2006-07-01,Low Rise Jeans,0
2006-08-01,Low Rise Jeans,6
2006-09-01,Low Rise Jeans,0
2006-10-01,Low Rise Jeans,7
2006-11-01,Low Rise Jeans,7
2006-12-01,Low Rise Jeans,0
2007-01-01,Low Rise Jeans,11
2007-02-01,Low Rise Jeans,7
2007-03-01,Low Rise Jeans,6
2007-04-01,Low Rise Jeans,5
2007-05-01,Low Rise Jeans,5
2007-06-01,Low Rise Jeans,0
2007-07-01,Low Rise Jeans,0
2007-08-01,Low Rise Jeans,4
2007-09-01,Low Rise Jeans,5
2007-10-01,Low Rise Jeans,5
2007-11-01,Low Rise Jeans,4
2007-12-01,Low Rise Jeans,6
2008-01-01,Low Rise Jeans,7
2008-02-01,Low Rise Jeans,5
2008-03-01,Low Rise Jeans,3
2008-04-01,Low Rise Jeans,5
2008-05-01,Low Rise Jeans,5
2008-06-01,Low Rise Jeans,6
2008-07-01,Low Rise Jeans,5
2008-08-01,Low Rise Jeans,3
2008-09-01,Low Rise Jeans,4
2008-10-01,Low Rise Jeans,0
2008-11-01,Low Rise Jeans,3
2008-12-01,Low Rise Jeans,5
2009-01-01,Low Rise Jeans,0
2009-02-01,Low Rise Jeans,5
2009-03-01,Low Rise Jeans,4
2009-04-01,Low Rise Jeans,5
2009-05-01,Low Rise Jeans,3
2009-06-01,Low Rise Jeans,3
2009-07-01,Low Rise Jeans,5
2009-08-01,Low Rise Jeans,4
2009-09-01,Low Rise Jeans,5
2009-10-01,Low Rise Jeans,6
2009-11-01,Low Rise Jeans,3
2009-12-01,Low Rise Jeans,4
2010-01-01,Low Rise Jeans,4
2010-02-01,Low Rise Jeans,3
2010-03-01,Low Rise Jeans,4
2010-04-01,Low Rise Jeans,3
2010-05-01,Low Rise Jeans,4
2010-06-01,Low Rise Jeans,3
2010-07-01,Low Rise Jeans,7
2010-08-01,Low Rise Jeans,2
2010-09-01,Low Rise Jeans,5
2010-10-01,Low Rise Jeans,3
2010-11-01,Low Rise Jeans,2
2010-12-01,Low Rise Jeans,3
2011-01-01,Low Rise Jeans,6
2011-02-01,Low Rise Jeans,5
2011-03-01,Low Rise Jeans,3
2011-04-01,Low Rise Jeans,3
2011-05-01,Low Rise Jeans,4
2011-06-01,Low Rise Jeans,4
2011-07-01,Low Rise Jeans,3
2011-08-01,Low Rise Jeans,4
2011-09-01,Low Rise Jeans,5
2011-10-01,Low Rise Jeans,5
2011-11-01,Low Rise Jeans,4
2011-12-01,Low Rise Jeans,5
2012-01-01,Low Rise Jeans,5
2012-02-01,Low Rise Jeans,5
2012-03-01,Low Rise Jeans,6
2012-04-01,Low Rise Jeans,5
2012-05-01,Low Rise Jeans,5
2012-06-01,Low Rise Jeans,5
2012-07-01,Low Rise Jeans,5
2012-08-01,Low Rise Jeans,5
2012-09-01,Low Rise Jeans,5
2012-10-01,Low Rise Jeans,4
2012-11-01,Low Rise Jeans,5
2012-12-01,Low Rise Jeans,6
2013-01-01,Low Rise Jeans,4
2013-02-01,Low Rise Jeans,4
2013-03-01,Low Rise Jeans,4
2013-04-01,Low Rise Jeans,6
2013-05-01,Low Rise Jeans,5
2013-06-01,Low Rise Jeans,4
2013-07-01,Low Rise Jeans,3
2013-08-01,Low Rise Jeans,5
2013-09-01,Low Rise Jeans,5
2013-10-01,Low Rise Jeans,5
2013-11-01,Low Rise Jeans,5
2013-12-01,Low Rise Jeans,5
2014-01-01,Low Rise Jeans,4
2014-02-01,Low Rise Jeans,5
2014-03-01,Low Rise Jeans,5
2014-04-01,Low Rise Jeans,5
2014-05-01,Low Rise Jeans,6
2014-06-01,Low Rise Jeans,5
2014-07-01,Low Rise Jeans,3
2014-08-01,Low Rise Jeans,5
2014-09-01,Low Rise Jeans,5
2014-10-01,Low Rise Jeans,5
2014-11-01,Low Rise Jeans,5
2014-12-01,Low Rise Jeans,5
2015-01-01,Low Rise Jeans,7
2015-02-01,Low Rise Jeans,6
2015-03-01,Low Rise Jeans,6
2015-04-01,Low Rise Jeans,7
2015-05-01,Low Rise Jeans,7
2015-06-01,Low Rise Jeans,6
2015-07-01,Low Rise Jeans,6
2015-08-01,Low Rise Jeans,6
2015-09-01,Low Rise Jeans,7
2015-10-01,Low Rise Jeans,5
2015-11-01,Low Rise Jeans,6
2015-12-01,Low Rise Jeans,5
2016-01-01,Low Rise Jeans,7
2016-02-01,Low Rise Jeans,6
2016-03-01,Low Rise Jeans,6
2016-04-01,Low Rise Jeans,8
2016-05-01,Low Rise Jeans,6
2016-06-01,Low Rise Jeans,5
2016-07-01,Low Rise Jeans,5
2016-08-01,Low Rise Jeans,7
2016-09-01,Low Rise Jeans,7
2016-10-01,Low Rise Jeans,7
2016-11-01,Low Rise Jeans,7
2016-12-01,Low Rise Jeans,6
2017-01-01,Low Rise Jeans,7
2017-02-01,Low Rise Jeans,7
2017-03-01,Low Rise Jeans,7
2017-04-01,Low Rise Jeans,8
2017-05-01,Low Rise Jeans,5
2017-06-01,Low Rise Jeans,5
2017-07-01,Low Rise Jeans,6
2017-08-01,Low Rise Jeans,7
2017-09-01,Low Rise Jeans,7
2017-10-01,Low Rise Jeans,8
2017-11-01,Low Rise Jeans,7
2017-12-01,Low Rise Jeans,7
2018-01-01,Low Rise Jeans,6
2018-02-01,Low Rise Jeans,7
2018-03-01,Low Rise Jeans,7
2018-04-01,Low Rise Jeans,8
2018-05-01,Low Rise Jeans,6
2018-06-01,Low Rise Jeans,6
2018-07-01,Low Rise Jeans,3
2018-08-01,Low Rise Jeans,7
2018-09-01,Low Rise Jeans,8
2018-10-01,Low Rise Jeans,7
2018-11-01,Low Rise Jeans,8
2018-12-01,Low Rise Jeans,8
2019-01-01,Low Rise Jeans,9
2019-02-01,Low Rise Jeans,9
2019-03-01,Low Rise Jeans,13
2019-04-01,Low Rise Jeans,10
2019-05-01,Low Rise Jeans,8
2019-06-01,Low Rise Jeans,9
2019-07-01,Low Rise Jeans,6
2019-08-01,Low Rise Jeans,6
2019-09-01,Low Rise Jeans,9
2019-10-01,Low Rise Jeans,11
2019-11-01,Low Rise Jeans,7
2019-12-01,Low Rise Jeans,8
2020-01-01,Low Rise Jeans,10
2020-02-01,Low Rise Jeans,10
2020-03-01,Low Rise Jeans,8
2020-04-01,Low Rise Jeans,8
2020-05-01,Low Rise Jeans,11
2020-06-01,Low Rise Jeans,12
2020-07-01,Low Rise Jeans,14
2020-08-01,Low Rise Jeans,13
2020-09-01,Low Rise Jeans,15
2020-10-01,Low Rise Jeans,14
2020-11-01,Low Rise Jeans,12
2020-12-01,Low Rise Jeans,13
2021-01-01,Low Rise Jeans,15
2021-02-01,Low Rise Jeans,19
2021-03-01,Low Rise Jeans,19
2021-04-01,Low Rise Jeans,23
2021-05-01,Low Rise Jeans,21
2021-06-01,Low Rise Jeans,15
2021-07-01,Low Rise Jeans,17
2021-08-01,Low Rise Jeans,21
2021-09-01,Low Rise Jeans,21
2021-10-01,Low Rise Jeans,20
2021-11-01,Low Rise Jeans,20
2021-12-01,Low Rise Jeans,21
2022-01-01,Low Rise Jeans,25
2022-02-01,Low Rise Jeans,25
2022-03-01,Low Rise Jeans,24
2022-04-01,Low Rise Jeans,26
2022-05-01,Low Rise Jeans,23
2022-06-01,Low Rise Jeans,17
2022-07-01,Low Rise Jeans,17
2022-08-01,Low Rise Jeans,22
2022-09-01,Low Rise Jeans,30
2022-10-01,Low Rise Jeans,26
2022-11-01,Low Rise Jeans,28
2022-12-01,Low Rise Jeans,27
2023-01-01,Low Rise Jeans,28
2023-02-01,Low Rise Jeans,31
2023-03-01,Low Rise Jeans,26
2023-04-01,Low Rise Jeans,31
2023-05-01,Low Rise Jeans,28
2023-06-01,Low Rise Jeans,22
2023-07-01,Low Rise Jeans,27
2023-08-01,Low Rise Jeans,35
2023-09-01,Low Rise Jeans,36
2023-10-01,Low Rise Jeans,41
2023-11-01,Low Rise Jeans,45
2023-12-01,Low Rise Jeans,44
2024-01-01,Low Rise Jeans,46
2024-02-01,Low Rise Jeans,46
2024-03-01,Low Rise Jeans,48
2024-04-01,Low Rise Jeans,47
2024-05-01,Low Rise Jeans,38
2024-06-01,Low Rise Jeans,34
2024-07-01,Low Rise Jeans,41
2024-08-01,Low Rise Jeans,55
2024-09-01,Low Rise Jeans,74
2024-10-01,Low Rise Jeans,65
2024-11-01,Low Rise Jeans,83
2024-12-01,Low Rise Jeans,87
2025-01-01,Low Rise Jeans,64
2025-02-01,Low Rise Jeans,63
2025-03-01,Low Rise Jeans,65
2025-04-01,Low Rise Jeans,67
2025-05-01,Low Rise Jeans,87
2025-06-01,Low Rise Jeans,47
2025-07-01,Low Rise Jeans,51
2025-08-01,Low Rise Jeans,81
2025-09-01,Low Rise Jeans,87
2025-10-01,Low Rise Jeans,84
2025-11-01,Low Rise Jeans,93
2025-12-01,Low Rise Jeans,100
2026-01-01,Low Rise Jeans,80
2026-02-01,Low Rise Jeans,84
2004-01-01,Leather Jacket,14
2004-02-01,Leather Jacket,14
2004-03-01,Leather Jacket,11
2004-04-01,Leather Jacket,10
2004-05-01,Leather Jacket,10
2004-06-01,Leather Jacket,9
2004-07-01,Leather Jacket,10
2004-08-01,Leather Jacket,11
2004-09-01,Leather Jacket,15
2004-10-01,Leather Jacket,14
2004-11-01,Leather Jacket,16
2004-12-01,Leather Jacket,20
2005-01-01,Leather Jacket,12
2005-02-01,Leather Jacket,13
2005-03-01,Leather Jacket,14
2005-04-01,Leather Jacket,16
2005-05-01,Leather Jacket,12
2005-06-01,Leather Jacket,9
2005-07-01,Leather Jacket,10
2005-08-01,Leather Jacket,13
2005-09-01,Leather Jacket,14
2005-10-01,Leather Jacket,18
2005-11-01,Leather Jacket,21
2005-12-01,Leather Jacket,21
2006-01-01,Leather Jacket,13
2006-02-01,Leather Jacket,14
2006-03-01,Leather Jacket,14
2006-04-01,Leather Jacket,13
2006-05-01,Leather Jacket,11
2006-06-01,Leather Jacket,9
2006-07-01,Leather Jacket,8
2006-08-01,Leather Jacket,12
2006-09-01,Leather Jacket,15
2006-10-01,Leather Jacket,17
2006-11-01,Leather Jacket,19
2006-12-01,Leather Jacket,22
2007-01-01,Leather Jacket,15
2007-02-01,Leather Jacket,13
2007-03-01,Leather Jacket,14
2007-04-01,Leather Jacket,13
2007-05-01,Leather Jacket,13
2007-06-01,Leather Jacket,12
2007-07-01,Leather Jacket,13
2007-08-01,Leather Jacket,15
2007-09-01,Leather Jacket,20
2007-10-01,Leather Jacket,22
2007-11-01,Leather Jacket,25
2007-12-01,Leather Jacket,28
2008-01-01,Leather Jacket,17
2008-02-01,Leather Jacket,17
2008-03-01,Leather Jacket,18
2008-04-01,Leather Jacket,18
2008-05-01,Leather Jacket,13
2008-06-01,Leather Jacket,13
2008-07-01,Leather Jacket,15
2008-08-01,Leather Jacket,20
2008-09-01,Leather Jacket,21
2008-10-01,Leather Jacket,25
2008-11-01,Leather Jacket,25
2008-12-01,Leather Jacket,29
2009-01-01,Leather Jacket,24
2009-02-01,Leather Jacket,20
2009-03-01,Leather Jacket,19
2009-04-01,Leather Jacket,17
2009-05-01,Leather Jacket,19
2009-06-01,Leather Jacket,14
2009-07-01,Leather Jacket,14
2009-08-01,Leather Jacket,18
2009-09-01,Leather Jacket,22
2009-10-01,Leather Jacket,24
2009-11-01,Leather Jacket,26
2009-12-01,Leather Jacket,28
2010-01-01,Leather Jacket,22
2010-02-01,Leather Jacket,20
2010-03-01,Leather Jacket,18
2010-04-01,Leather Jacket,16
2010-05-01,Leather Jacket,15
2010-06-01,Leather Jacket,11
2010-07-01,Leather Jacket,13
2010-08-01,Leather Jacket,18
2010-09-01,Leather Jacket,23
2010-10-01,Leather Jacket,26
2010-11-01,Leather Jacket,24
2010-12-01,Leather Jacket,25
2011-01-01,Leather Jacket,27
2011-02-01,Leather Jacket,25
2011-03-01,Leather Jacket,27
2011-04-01,Leather Jacket,21
2011-05-01,Leather Jacket,19
2011-06-01,Leather Jacket,21
2011-07-01,Leather Jacket,21
2011-08-01,Leather Jacket,26
2011-09-01,Leather Jacket,30
2011-10-01,Leather Jacket,36
2011-11-01,Leather Jacket,35
2011-12-01,Leather Jacket,37
2012-01-01,Leather Jacket,32
2012-02-01,Leather Jacket,33
2012-03-01,Leather Jacket,32
2012-04-01,Leather Jacket,35
2012-05-01,Leather Jacket,33
2012-06-01,Leather Jacket,30
2012-07-01,Leather Jacket,35
2012-08-01,Leather Jacket,33
2012-09-01,Leather Jacket,42
2012-10-01,Leather Jacket,53
2012-11-01,Leather Jacket,52
2012-12-01,Leather Jacket,56
2013-01-01,Leather Jacket,42
2013-02-01,Leather Jacket,43
2013-03-01,Leather Jacket,46
2013-04-01,Leather Jacket,46
2013-05-01,Leather Jacket,38
2013-06-01,Leather Jacket,34
2013-07-01,Leather Jacket,25
2013-08-01,Leather Jacket,32
2013-09-01,Leather Jacket,53
2013-10-01,Leather Jacket,56
2013-11-01,Leather Jacket,57
2013-12-01,Leather Jacket,62
2014-01-01,Leather Jacket,46
2014-02-01,Leather Jacket,44
2014-03-01,Leather Jacket,46
2014-04-01,Leather Jacket,45
2014-05-01,Leather Jacket,38
2014-06-01,Leather Jacket,29
2014-07-01,Leather Jacket,26
2014-08-01,Leather Jacket,39
2014-09-01,Leather Jacket,47
2014-10-01,Leather Jacket,55
2014-11-01,Leather Jacket,62
2014-12-01,Leather Jacket,63
2015-01-01,Leather Jacket,45
2015-02-01,Leather Jacket,44
2015-03-01,Leather Jacket,48
2015-04-01,Leather Jacket,45
2015-05-01,Leather Jacket,43
2015-06-01,Leather Jacket,32
2015-07-01,Leather Jacket,30
2015-08-01,Leather Jacket,42
2015-09-01,Leather Jacket,52
2015-10-01,Leather Jacket,56
2015-11-01,Leather Jacket,63
2015-12-01,Leather Jacket,65
2016-01-01,Leather Jacket,50
2016-02-01,Leather Jacket,48
2016-03-01,Leather Jacket,48
2016-04-01,Leather Jacket,54
2016-05-01,Leather Jacket,46
2016-06-01,Leather Jacket,37
2016-07-01,Leather Jacket,34
2016-08-01,Leather Jacket,36
2016-09-01,Leather Jacket,54
2016-10-01,Leather Jacket,69
2016-11-01,Leather Jacket,67
2016-12-01,Leather Jacket,69
2017-01-01,Leather Jacket,51
2017-02-01,Leather Jacket,48
2017-03-01,Leather Jacket,54
2017-04-01,Leather Jacket,53
2017-05-01,Leather Jacket,45
2017-06-01,Leather Jacket,30
2017-07-01,Leather Jacket,34
2017-08-01,Leather Jacket,46
2017-09-01,Leather Jacket,61
2017-10-01,Leather Jacket,69
2017-11-01,Leather Jacket,69
2017-12-01,Leather Jacket,64
2018-01-01,Leather Jacket,50
2018-02-01,Leather Jacket,48
2018-03-01,Leather Jacket,52
2018-04-01,Leather Jacket,51
2018-05-01,Leather Jacket,38
2018-06-01,Leather Jacket,28
2018-07-01,Leather Jacket,23
2018-08-01,Leather Jacket,43
2018-09-01,Leather Jacket,62
2018-10-01,Leather Jacket,66
2018-11-01,Leather Jacket,70
2018-12-01,Leather Jacket,68
2019-01-01,Leather Jacket,52
2019-02-01,Leather Jacket,52
2019-03-01,Leather Jacket,56
2019-04-01,Leather Jacket,56
2019-05-01,Leather Jacket,47
2019-06-01,Leather Jacket,45
2019-07-01,Leather Jacket,31
2019-08-01,Leather Jacket,44
2019-09-01,Leather Jacket,63
2019-10-01,Leather Jacket,69
2019-11-01,Leather Jacket,68
2019-12-01,Leather Jacket,69
2020-01-01,Leather Jacket,54
2020-02-01,Leather Jacket,51
2020-03-01,Leather Jacket,39
2020-04-01,Leather Jacket,34
2020-05-01,Leather Jacket,37
2020-06-01,Leather Jacket,36
2020-07-01,Leather Jacket,42
2020-08-01,Leather Jacket,46
2020-09-01,Leather Jacket,63
2020-10-01,Leather Jacket,71
2020-11-01,Leather Jacket,65
2020-12-01,Leather Jacket,61
2021-01-01,Leather Jacket,46
2021-02-01,Leather Jacket,46
2021-03-01,Leather Jacket,46
2021-04-01,Leather Jacket,52
2021-05-01,Leather Jacket,60
2021-06-01,Leather Jacket,33
2021-07-01,Leather Jacket,32
2021-08-01,Leather Jacket,49
2021-09-01,Leather Jacket,61
2021-10-01,Leather Jacket,81
2021-11-01,Leather Jacket,81
2021-12-01,Leather Jacket,71
2022-01-01,Leather Jacket,58
2022-02-01,Leather Jacket,57
2022-03-01,Leather Jacket,58
2022-04-01,Leather Jacket,55
2022-05-01,Leather Jacket,47
2022-06-01,Leather Jacket,38
2022-07-01,Leather Jacket,33
2022-08-01,Leather Jacket,38
2022-09-01,Leather Jacket,66
2022-10-01,Leather Jacket,80
2022-11-01,Leather Jacket,75
2022-12-01,Leather Jacket,74
2023-01-01,Leather Jacket,68
2023-02-01,Leather Jacket,78
2023-03-01,Leather Jacket,72
2023-04-01,Leather Jacket,73
2023-05-01,Leather Jacket,58
2023-06-01,Leather Jacket,32
2023-07-01,Leather Jacket,41
2023-08-01,Leather Jacket,56
2023-09-01,Leather Jacket,68
2023-10-01,Leather Jacket,85
2023-11-01,Leather Jacket,85
2023-12-01,Leather Jacket,78
2024-01-01,Leather Jacket,63
2024-02-01,Leather Jacket,64
2024-03-01,Leather Jacket,69
2024-04-01,Leather Jacket,72
2024-05-01,Leather Jacket,51
2024-06-01,Leather Jacket,41
2024-07-01,Leather Jacket,38
2024-08-01,Leather Jacket,47
2024-09-01,Leather Jacket,82
